Name,Address,prktype,restroom,Website,playground,soccer,basketball,tennis,volleyball,baseball,discgolf,dogpark,picnic,sprayground,latitude,longitude
James Dennis Rash Park,"1001 W 4TH ST EXT CHARLOTTE, NC 28202",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.23294337,-80.85445309
Thompson Park,"1125 E 3RD ST CHARLOTTE, NC 28204",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.21620639,-80.83424788
Ninth Street Park,"417 W 9TH ST CHARLOTTE, NC 28202",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,35.23374682,-80.84087607
Independence Pointe Park,"9902 INDEPENDENCE POINTE PY MATTHEWS, NC 28105",Town Park,No,https://www.matthewsnc.gov/pview.aspx?id=20727&catid=0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.13311988,-80.71205916
Robert Heywood Morrison Garden,"1445 HARDING PL CHARLOTTE, NC 28204",Flower Garden,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.20666554,-80.83688961
Sixteenth Street Park,"620 E 16TH ST CHARLOTTE, NC 28206",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,35.23272704,-80.8238931
Horticultural Maintenance Facility,"11826 MALLARD CREEK RD CHARLOTTE, NC 28269",Operational,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.35575667,-80.75660996
Marion Diehl Recreation Center & Pool,"2219 TYVOLA RD CHARLOTTE, NC 28210",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.15933804,-80.85887437
Veterans Park,"201 HUNTERSVILLE-CONCORD RD HUNTERSVILLE, NC 28078",Town Park,No,https://www.huntersville.org/162/Parks-Recreation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.41096102,-80.84134063
Kuck Road Park,"7221 KUCK RD CHARLOTTE, NC 28227",Community,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.19206529,-80.68138896
Tom Sykes Recreation Center,"1501 EUCLID AV CHARLOTTE, NC 28203",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.21261091,-80.85209132
St. Marys Chapel,"1129 E 3RD ST CHARLOTTE, NC 28204",Event Venue,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.21616232,-80.83418639
Marshall Park,"800 E 3RD ST CHARLOTTE, NC 28202",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.22035914,-80.83928258
Midtown Park,"510 S KINGS DR CHARLOTTE, NC 28204",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.21121293,-80.83561465
Country Place Park,"557 S TRADE ST MATTHEWS, NC 28105",Town Park,No,https://www.matthewsnc.gov/pview.aspx?id=20727&catid=0,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,35.11092954,-80.72719231
Fountain Rock Park,"311 S TRADE ST MATTHEWS, NC 28105",Town Park,No,https://www.matthewsnc.gov/pview.aspx?id=20727&catid=0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.11338394,-80.72487395
Hidden Valley Park,"260 NORTHCHASE DR CHARLOTTE, NC 28213",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.26262578,-80.77618682
Viewmont Park,"5400 VIEWMONT DR CHARLOTTE, NC 28215",Neighborhood,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.26008717,-80.75045817
KP Park,"320 E MATTHEWS ST MATTHEWS, NC 28105",Town Park,No,https://www.matthewsnc.gov/pview.aspx?id=20727&catid=0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.11738874,-80.71892376
Double Oaks Family Aquatic Center,"2014 STATESVILLE AV CHARLOTTE, NC 28206",Aquatic Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.2496892,-80.83577956
Purser-Hulsey Park,"13201 PHILLIPS RD MATTHEWS, NC 28105",Town Park,No,https://www.matthewsnc.gov/pview.aspx?id=20727&catid=0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.12852724,-80.6844717
Amay James Recreation Center & Annex,"2425 LESTER ST CHARLOTTE, NC 28208",Recreation Center,Yes,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,35.20379979,-80.9011766
Piedmont Pine Nature Preserve,"10505 COBLE RD CHARLOTTE, NC 28227",Nature Preserve,No,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.22238081,-80.59542447
